"ProbeID","GeneSymbol"
"11715350_a_at","COL1A1"
"11715353_s_at","COL1A2"
"11715403_a_at","COL6A1"
"11715414_x_at","COL3A1"
"11715496_a_at","CTSK"
"11715533_a_at","LRP1"
"11715603_s_at","SPARC"
"11715651_s_at","FSTL1"
"11715652_a_at","PCOLCE"
"11715751_a_at","DPYSL3"
"11716014_a_at","SERPINF1"
"11716329_s_at","GJA1"
"11716549_s_at","ISLR"
"11716932_a_at","CCDC80"
"11717272_at","COL5A1"
"11717340_at","PTGFRN"
"11717480_a_at","FKBP10"
"11718605_a_at","SCRG1"
"11718832_a_at","LOXL2"
"11719002_at","KDELR3"
"11719363_s_at","PRRX1"
"11720365_a_at","COL6A2"
"11720440_at","OLFML2B"
"11720507_at","FBN1"
"11720606_a_at","SFRP2"
"11720794_a_at","SRPX"
"11720845_a_at","CD248"
"11721744_a_at","NID2"
"11722199_at","ADAM12"
"11722577_a_at","LEPRE1"
"11723123_at","SH3PXD2B"
"11724687_a_at","PCSK5"
"11725306_s_at","CALU"
"11727296_s_at","TGFB3"
"11727559_at","FKBP7"
"11728022_a_at","TMEM45A"
"11728342_at","DCLK1"
"11729644_a_at","GPX8"
"11729817_a_at","IGF1"
"11731126_at","GXYLT2"
"11731143_a_at","GPR133"
"11731474_at","SFRP4"
"11733253_a_at","FBLN2"
"11733891_at","FKBP14"
"11734704_at","LAMA4"
"11736361_at","C13orf33"
"11739134_a_at","COL5A2"
"11740143_s_at","BEND6"
"11741377_a_at","MMP2"
"11741710_a_at","COL6A3"
"11742971_s_at","COLEC12"
"11743667_at","COL8A2"
"11743776_a_at","GLT8D2"
"11743856_a_at","CTHRC1"
"11744298_at","RCN3"
"11744517_a_at","SLC2A10"
"11751896_a_at","COL12A1"
"11754978_a_at","BMP1"
"11755071_a_at","HMCN1"
"11755955_a_at","FAP"
"11756810_a_at","MFAP2"
"11757631_s_at","VGLL3"
"11759297_at","FAM114A1"
